ParticipantID,Health_Status,SPEAKER_ID,Long_term_attractiveness,Short_term_attractiveness
76,0,19,5,2
76,0,20,6,1
91,1,1,3,8
91,1,2,6,6
91,1,3,7,2
91,1,4,3,3
91,1,5,4,8
91,1,6,5,4
91,1,7,7,7
91,1,8,2,4
91,1,9,1,4
91,1,10,1,3
91,0,11,3,6
91,0,12,1,5
91,0,13,4,5
91,0,14,4,7
91,0,15,1,3
91,0,16,1,7
91,0,17,7,7
91,0,18,1,7
91,0,19,1,3
91,0,20,1,6
39,1,1,6,2
39,1,2,4,7
39,1,3,8,7
39,1,4,4,7
39,1,5,6,7
39,1,6,6,5
39,1,7,7,9
39,1,8,8,6
39,1,9,6,8
39,1,10,7,8
39,0,11,7,5
39,0,12,5,8
39,0,13,9,2
39,0,14,8,8
39,0,15,7,1
39,0,16,8,4
39,0,17,8,3
39,0,18,6,7
39,0,19,5,2
39,0,20,7,7
64,1,1,1,1
64,1,2,1,1
64,1,3,3,1
64,1,4,4,2
64,1,5,7,9
64,1,6,5,5
64,1,7,6,9
64,1,8,5,5
64,1,9,7,9
64,1,10,7,9
64,0,11,6,1
64,0,12,2,1
64,0,13,2,1
64,0,14,4,5
64,0,15,1,1
64,0,16,3,3
64,0,17,3,1
64,0,18,2,1
64,0,19,8,1
64,0,20,2,5
9,1,1,9,5
9,1,2,6,4
9,1,3,6,9
9,1,4,9,5
9,1,5,7,6
9,1,6,9,7
9,1,7,5,9
9,1,8,9,5
9,1,9,9,7
9,1,10,7,6
9,0,11,9,9
9,0,12,5,7
9,0,13,6,7
9,0,14,9,8
9,0,15,5,8
9,0,16,9,8
9,0,17,9,5
9,0,18,9,6
9,0,19,9,7
9,0,20,7,9
62,1,1,2,1
62,1,2,2,2
62,1,3,2,2
62,1,4,3,2
62,1,5,3,3
62,1,6,3,2
62,1,7,2,2
62,1,8,3,3
62,1,9,3,2
62,1,10,2,2
62,0,11,2,2
62,0,12,2,2
62,0,13,2,2
62,0,14,2,2
62,0,15,2,2
62,0,16,3,2
62,0,17,2,2
62,0,18,2,1
62,0,19,2,2
62,0,20,2,2
89,1,1,2,7
89,1,2,3,2
89,1,3,6,9
89,1,4,7,6
89,1,5,7,7
89,1,6,5,8
89,1,7,5,5
89,1,8,6,7
89,1,9,9,8
89,1,10,8,8
89,0,11,6,7
89,0,12,2,6
89,0,13,7,9
89,0,14,9,6
89,0,15,3,5
89,0,16,9,9
89,0,17,8,9
89,0,18,7,7
89,0,19,7,9
89,0,20,9,7
42,1,1,5,5
42,1,2,4,3
42,1,3,7,2
42,1,4,7,7
42,1,5,9,3
42,1,6,8,9
42,1,7,7,8
42,1,8,6,2
42,1,9,8,6
42,1,10,7,4
42,0,11,5,8
42,0,12,5,3
42,0,13,7,6
42,0,14,8,6
42,0,15,4,1
42,0,16,6,7
42,0,17,5,7
42,0,18,4,3
42,0,19,7,6
42,0,20,5,5
45,1,1,6,3
45,1,2,7,3
45,1,3,4,2
45,1,4,4,2
45,1,5,5,4
45,1,6,5,3
45,1,7,4,3
45,1,8,5,3
45,1,9,6,3
45,1,10,3,2
45,0,11,5,3
45,0,12,4,3
45,0,13,3,3
45,0,14,7,2
45,0,15,3,2
45,0,16,5,4
45,0,17,4,2
45,0,18,5,4
45,0,19,4,3
45,0,20,6,3
107,1,1,5,5
107,1,2,6,3
107,1,3,5,3
107,1,4,3,2
107,1,5,4,5
107,1,6,5,6
107,1,7,8,6
107,1,8,7,5
107,1,9,6,6
107,1,10,7,3
107,0,11,2,7
107,0,12,4,4
107,0,13,2,1
107,0,14,8,6
107,0,15,1,1
107,0,16,2,4
107,0,17,2,5
107,0,18,2,6
107,0,19,8,6
107,0,20,6,6
108,1,1,3,3
108,1,2,1,1
108,1,3,3,3
108,1,4,6,5
108,1,5,4,9
108,1,6,4,9
108,1,7,3,3
108,1,8,7,8
108,1,9,3,1
108,1,10,5,6
108,0,11,4,3
108,0,12,4,7
108,0,13,7,9
108,0,14,6,4
108,0,15,2,3
108,0,16,6,8
108,0,17,3,7
108,0,18,1,1
