ParticipantID,Health_Status,SPEAKER_ID,Physical_Domaince,Social_Dmanice
109,1,3,4,7
109,1,4,5,5
109,1,5,7,6
109,1,6,3,7
109,1,7,5,7
109,1,8,3,5
109,1,9,6,5
109,1,10,6,6
109,0,11,4,5
109,0,12,4,2
109,0,13,5,6
109,0,14,6,7
109,0,15,2,5
109,0,16,7,7
109,0,17,4,7
109,0,18,6,6
109,0,19,7,6
109,0,20,4,4
57,1,1,6,3
57,1,2,8,8
57,1,3,8,8
57,1,4,7,6
57,1,5,7,5
57,1,6,8,8
57,1,7,8,7
57,1,8,6,3
57,1,9,6,8
57,1,10,8,6
57,0,11,3,6
57,0,12,2,2
57,0,13,7,3
57,0,14,5,7
57,0,15,3,2
57,0,16,4,7
57,0,17,8,3
57,0,18,6,3
57,0,19,7,3
57,0,20,3,7
120,1,1,3,5
120,1,2,2,6
120,1,3,4,6
120,1,4,6,3
120,1,5,7,7
120,1,6,7,7
120,1,7,8,7
120,1,8,3,7
120,1,9,5,5
120,1,10,8,5
120,0,11,6,6
120,0,12,2,5
120,0,13,4,3
120,0,14,5,5
120,0,15,1,2
120,0,16,3,7
120,0,17,2,3
120,0,18,7,2
120,0,19,2,2
120,0,20,5,8
25,1,1,5,6
25,1,2,6,7
25,1,3,4,4
25,1,4,4,6
25,1,5,3,4
25,1,6,7,6
25,1,7,7,3
25,1,8,4,4
25,1,9,8,7
25,1,10,4,8
25,0,11,6,7
25,0,12,3,2
25,0,13,6,4
25,0,14,7,8
25,0,15,3,1
25,0,16,7,6
25,0,17,4,3
25,0,18,5,4
25,0,19,4,3
25,0,20,6,5
33,1,1,4,6
33,1,2,8,7
33,1,3,6,5
33,1,4,6,6
33,1,5,4,7
33,1,6,4,6
33,1,7,4,3
33,1,8,4,3
33,1,9,3,5
33,1,10,6,3
33,0,11,4,3
33,0,12,2,3
33,0,13,6,6
33,0,14,5,4
33,0,15,5,5
33,0,16,5,6
33,0,17,3,4
33,0,18,3,5
33,0,19,4,4
33,0,20,4,3
117,1,1,4,6
117,1,2,7,3
117,1,3,7,5
117,1,4,2,5
117,1,5,4,3
117,1,6,4,4
117,1,7,3,4
117,1,8,3,5
117,1,9,7,8
117,1,10,4,6
117,0,11,8,3
117,0,12,7,3
117,0,13,5,4
117,0,14,7,7
117,0,15,2,3
117,0,16,8,7
117,0,17,3,4
117,0,18,6,4
117,0,19,2,3
117,0,20,7,7
79,1,1,3,7
79,1,2,6,5
79,1,3,5,8
79,1,4,4,3
79,1,5,8,4
79,1,6,6,6
79,1,7,6,7
79,1,8,7,7
79,1,9,8,7
79,1,10,6,6
79,0,11,8,7
79,0,12,4,6
79,0,13,8,5
79,0,14,6,8
79,0,15,1,4
79,0,16,4,6
79,0,17,1,3
79,0,18,5,6
79,0,19,6,3
79,0,20,5,7
73,1,1,4,2
73,1,2,4,4
73,1,3,4,5
73,1,4,6,3
73,1,5,3,5
73,1,6,4,6
73,1,7,2,4
73,1,8,3,4
73,1,9,3,4
73,1,10,4,3
73,0,11,2,4
73,0,12,4,2
73,0,13,6,3
73,0,14,3,5
73,0,15,4,5
73,0,16,3,4
73,0,17,3,4
73,0,18,2,3
73,0,19,4,3
73,0,20,3,5
48,1,1,4,5
48,1,2,6,5
48,1,3,8,5
48,1,4,4,5
48,1,5,5,5
48,1,6,5,5
48,1,7,7,5
48,1,8,3,5
48,1,9,8,5
48,1,10,7,5
48,0,11,8,5
48,0,12,4,6
48,0,13,5,5
48,0,14,4,5
48,0,15,5,5
