ID,Age,F0,apparent_VTL,F0_SD,Mean_HNR,absolute_jitter,abolute_shimmer,shimmer_apq3,Speakers_Health_Perception_Current_Health_mean,Speakers_Health_Perception_Resistence_mean,Listeners_Mean_Voice_Health_Rating,Listeners_Mean_Disease_Resistance_Rating,Listeners_Overall_Health_Rating
181,18,123.921,18.02457745,7.999,.292902,.00010193,1.46,.08964,5,4.5,5.55,5.18,5.365
183,21,101.757,14.75057938,7.584,.356964,9E-005,1.453,.09949,4,4,4.7,4.58,4.64
184,19,91.664,17.86108694,13.417,.257364,.000246396,1.318,.065,3.77777777777778,4,5.52,5.63,5.575
185,19,123.345,17.875487,26.678,.203234,.000119679,1.338,.07015,3.88888888888889,3.75,5.2,4.82,5.01
187,18,100.202,17.31546077,5.472,.221555,.000158673,1.01,.04578,4.77777777777778,4.5,5.34,5.17,5.255
189,22,100.879,16.44096317,19.337,.280477,.000570752,1.606,.07824,2.77777777777778,3,4.62,4.56,4.59
190,18,93.012,17.50264345,8.092,.229218,.000519134,1.567,.07949,4,3,5.44,5.38,5.41
191,19,120.025,16.83295447,12.174,.234082,.000183179,1.017,.03983,4.33333333333333,3.25,6.01,5.56,5.785
192,18,93.761,17.15501603,5.069,.26794,.000189716,.993,.03856,4.66666666666667,4.75,5.6,5.54,5.57
195,24,97.519,17.9639779,6.737,.183755,.000180498,.826,.04301,4.55555555555556,4,5.41,5.38,5.395
198,20,104.841,15.73613898,9.824,.185457,.000192337,1.019,.03576,2.44444444444444,3.75,5.21,5.28,5.245
