ParticipantID,SPEAKER_ID,Manipulation_Type,Physical_Dominance_F0,Physical_Dominance_VTL,Social_Dominance_F0,Social_Dominance_VTL
19,5,1,7,6,5,3
19,6,1,2,2,2,1
19,7,1,5,4,6,5
19,8,1,3,6,7,6
38,1,0,4,2,3,2
38,2,0,2,2,2,1
38,3,0,6,9,8,9
38,4,0,8,9,8,9
38,5,1,1,1,2,2
38,6,1,2,2,1,1
38,7,1,7,3,7,6
38,8,1,8,5,8,5
51,1,0,6,5,7,8
51,2,0,6,6,6,5
51,3,0,6,7,4,6
51,4,0,5,6,6,7
51,5,1,6,7,5,5
51,6,1,3,3,6,3
51,7,1,3,3,3,3
51,8,1,6,3,4,4
9,1,0,6,4,3,4
9,2,0,4,4,2,4
9,3,0,6,6,5,5
9,4,0,5,5,4,5
9,5,1,5,4,3,3
9,6,1, ,3,4,3
9,7,1,4,3,5,4
9,8,1,4,4,4,3
